claims,paper_id
Long-memory behavior is associated with each of k frequencies in the k-factor GARMA model.,10
inflation predicts stock returns,12
structural breaks in daily stock returns are detected for the Coca Cola Company during the 1990s.,14
The proposed estimator is applied to daily stock returns of Dell Corporation.,21
"Empirical examples, using stock returns and US inflation, demonstrate the practical value of the tests.",30
"Extreme values are often correlated over time, for example, in a financial time series, and these values carry various risks.",34
A model comparison was conducted using marginal likelihoods to investigate the time‐dependent dynamics in extreme stock returns for financial risk management.,34
The generalized t distribution is associated with stock returns.,46
Monthly value‐weighted returns of 12 industrial portfolios are analyzed.,55
The daily stock returns divided by tick price are associated with asymmetric responses in the volatility.,63
The relationship between various US sector Exchange‐Traded Funds returns and individual companies' stock price returns influences optimal financial portfolios.,66
Financial variables predict the excess return of S&P 500.,74
Liquidity uncertainty is associated with asset returns.,86
The relationship between liquidity uncertainty and asset returns turns out to be positive when using an alternative approach based on high‐frequency data.,86
Structural breaks in factor loadings are associated with stock returns.,98
Pricing errors in the conditional capital asset pricing model are associated with stock returns.,98
Skewness in the distribution of individual stock returns predicts stock returns.,103
Asymmetry in the dependence between stocks is associated with stock returns.,103
Data-driven approaches influence stock returns.,115
Financial variables display predictive ability for stock returns.,121
'Head-and-shoulders' price patterns have predictive power for future stock returns.,128
Firm characteristics are associated with expected stock returns.,132
Conditional betas are significant drivers of expected stock returns.,132
The market beta of a value-minus-growth portfolio decreases during economic recessions and whenever the default premium increases.,140
The proposed method is applied to stock returns.,142
Long-term negative skewness increases stock returns.,152
Skewness in a market factor implies high defaults and default correlations associated with stock returns.,152
The MVR statistic can detect differences in stock returns.,159
Dynamic component models of returns predict stock returns.,166
Improved point forecasts for realized covariances are associated with stock returns.,166
There is long memory in stock return volatility.,174
Book-to-market predicts stock returns.,182
Cash flow-to-price predicts stock returns.,182
Jumps predict more jumps stock returns.,194
Past returns affect present skewness stock returns.,197
Correlation of money flow among mutual funds forecasts skewness stock returns.,200
Flow Driven Skewness measure is significantly related to future skewness stock returns.,200
Multivariate variance ratio statistics predict stock returns.,203
Evidence of a reduction of linear predictability is associated with stock returns.,203
The Fama–French three-factor model is better than the capital asset pricing model in explaining the mean–variance efficiency of the U.S. stock market.,213
Factor structure influences stock returns.,224
High-frequency data conveys information on daily extreme returns associated with stock returns.,225
Higher moment dependence is associated with U.S. stock market returns.,228
Financial ratios are used for stock return predictability.,230
The default yield spread predicts stock returns.,232
The short-term interest rate predicts stock returns.,232
Positional portfolio management strategies are associated with stock returns.,234
The expected value of excess market returns influences stock returns.,235
The term structures of risk-neutral expected loss and gain uncertainty on S&P 500 returns are upward sloping on average.,243
The dependence of oil and stock markets is influenced by aggregate demand.,249
The dependence of oil and stock markets is influenced by stock-specific negative news.,249
The proposed Blockbuster shrinkage estimator can be used to deliver more efficient portfolio selection and detection of anomalies in the cross-section of asset returns.,250
Consumption-based asset pricing models improve the excess returns forecasts of a hypothetical investor.,251
The hedging demand on risky assets depends positively on the predictability of the risky asset.,254
The hedging demand on risky assets depends negatively on the degree of investor’s relative risk aversion.,254
Heterogeneous spatial effects and heteroscedastic disturbances are associated with distinct risks of the 11 eurozone stock markets.,266
Volatility timing strategies are associated with the ability to correctly forecast next period stochastic variance.,267
The implied variance smile of the S&P500 is a potential pricing factor for momentum-sorted portfolios.,268
Co-skewness is priced in the cross-section of stock returns for a small range of short horizons.,271
Cash flow and discount rate news are associated with market returns.,273
The components of the conditional market variance outperform several benchmark variables in forecasting future market returns.,273
Various predictor variables are associated with the monthly S&P 500 value-weighted log excess return.,286
Consumption is a priced factor for the cross-section of excess equity returns.,292
Self-exciting (clustered) jumps in stock returns are predictable.,293
A new statistic derived from predicted probabilities of positive and negative jumps is effective in return predictions.,293
The change in the aggregate earnings–returns relation is largely driven by intertemporal changes in aggregate inventory accruals.,297
A time-varying premium associated with a carbon risk factor is estimated in the cross-section of U.S. industry portfolios.,298
Firms with higher sensitivity to the dynamic network index exhibit lower expected returns.,299
Incorporating the dynamic network index into conventional asset pricing models improves return predictability.,299
The network factor generates a significant equity risk premium.,299
Graph information influences stock returns.,307
Predictive regressions are associated with stock returns.,314
Evidence for stock return predictability is found in volatile business cycle periods.,314
Large jumps are associated with market return forecast.,316
Financial data on stock returns is used to estimate the matrix of factor loadings.,394
Mean-variance efficiency tests are associated with US stock returns.,398
Stock market returns exhibit some of the characteristic features of the linear ARCH model.,403
The predictors display strong persistence and are associated with U.S. stock returns.,490
"The conditional mean estimator for GARCH(1,1) model predicts S&P 500 stock returns.",500
The proposed tests indicate that predictability exists in US stock returns.,537
The term spread predicts stock returns.,543
Pricing factors are associated with stock returns.,602
Macroeconomic predictors are insignificant at the 1% level for stock returns.,618
The proposed framework demonstrates empirical relevance for stock return prediction.,629
Profitability is associated with the subjective evaluations of bureaucrats regarding state-owned enterprises.,677
Managers of Indian state-owned enterprises can be expected to propose strategies that would increase their firm's profitability.,677
Optimal portfolio choice in a mean lower partial moment framework permits a two-fund portfolio separation between a riskless asset and a 'market' portfolio of risky assets.,685
"When security returns are lognormally distributed and 'small risk', this new mean lower partial moment valuation specializes to the mean-logarithmic variance capital asset pricing model.",685
Risk-taking characteristics of executives are associated with stock returns.,707
The day of the week effect is associated with Japanese stock returns.,712
Low Tuesday returns are associated with low Monday returns in the U.S.,712
High Wednesday returns are associated with Japanese stock returns.,712
R&D expenditures generate lower stock returns than indicated in previous research.,732
Advertising expenditures generate lower stock returns than indicated in previous research.,732
Risk is associated with stock returns.,735
Calendar effects are associated with stock returns.,735
Skewness persists in stock returns.,740
Future returns are estimated in relation to investment policies.,743
Stable laws predict stock returns.,745
The Bayes-Stein method forecasts the mean returns vector.,761
Estimating the covariance matrix is key in implementing portfolio theory.,761
Insider trading influences stock returns.,772
Unexpected earnings are associated with stock returns.,772
Prior-year excess security returns influence current analysts' earnings forecasts.,777
Greater market instability is associated with an increase in the value of marketing expertise.,784
Increases in the profit impact of marketing decisions are associated with an increase in the value of marketing expertise.,784
Increases in the loss from marketing mistakes are associated with an increase in the value of marketing expertise.,784
Winning a quality award predicts stock returns.,786
Strong environmental management is associated with improved stock market performance.,792
Weak environmental management is associated with significant negative stock returns.,792
Investors' stock selections and their perception of the risk of the same stocks were different in a series of decisions in which they lost money than in a series in which they made money.,800
Changes in preference coincided with changes in the perception of the riskiness of the choice alternatives.,800
"The Bayesian approach to dynamic seemingly unrelated regression forecasts the one-step ahead, conditional distribution of asset returns.",809
"The factor model assesses the relative attractiveness and risk of the assets in relation to the index, influencing the returns of the index portfolio.",809
"Stock returns exhibit positive or negative autocorrelation, depending on observation frequency.",816
"If first-order serial correlation is nonnegative, then the expected value of the optimal risky investment is increasing over time.",816
"If first-order serial correlation is negative, this path can be increasing or decreasing over time.",816
IT capital is associated with positive returns to IT investment.,821
Excess returns on IT investment relative to labor input are associated with IT capital.,821
Some evidence of excess returns relative to ordinary capital is associated with IT capital.,821
Factor model parameters are associated with explaining equilibrium asset prices.,834
Improvement in parameter estimation accuracy influences portfolio performance.,834
IT investments have a significantly positive association with Tobin's q value.,844
Returns from IT investments influence the demand for the products and services of the global IT industry.,858
Relatively depreciated real exchange rates favor stock returns.,879
Equity ownership of the largest external shareholder is strongly negatively related to the size of CEO equity compensation.,891
Equity ownership of the BOD is more important in managerial compensation control than other BOD related variables.,891
A higher proportion of stocks in the portfolio as the investment horizon increases predicts stock returns.,895
Technology usage is positively and significantly associated with measures of hospital revenue.,904
Dividend ratios have predictive ability for stock returns over horizons longer than 5–10 years.,906
A factor model describes security returns.,934
Investor competence influences trading frequency.,941
Higher trading frequency is associated with home bias.,941
ISO 9000 certification leads to significant abnormal improvements in financial performance.,943
Firms with abnormally high inventories have abnormally poor long-term stock returns.,944
Firms with slightly lower than average inventories have good stock returns.,944
Time variation in expected returns is associated with the use of more information.,947
Stock price variation influences managerial decision making.,948
Risk management practices are associated with benchmark performance.,961
"Volatility dependence produces sign dependence, so long as expected returns are nonzero, so that one should expect sign dependence, given the overwhelming evidence of volatility dependence.",968
"Sign dependence is not likely to be found via analysis of sign autocorrelations, runs tests, or traditional market timing tests because of the special nonlinear nature of sign dependence, so that traditional market timing tests are best viewed as tests for sign dependence arising from variation in expected returns rather than from variation in volatility or higher moments.",968
IT investment is positively associated with openness to trade.,978
IT investment is positively associated with telecommunications infrastructure.,978
IT investment is negatively associated with interest rates.,978
Complex investor learning influences stock returns.,983
Small investor sentiment is associated with stock returns.,985
The degree of trade clustering is related to investors' stock preferences and portfolio returns.,1004
Participation in an open standards community is associated with a greater likelihood of an initial public offering or acquisition for startups.,1014
Stock returns exhibit short-run momentum.,1029
Stock returns exhibit long-run mean reversion.,1029
Alliance announcements influence stock returns for rivals.,1033
"If an alliance is expected to make partner firms more competitive, this should lead to negative abnormal returns for partners' rivals.",1033
"If an alliance is expected to facilitate a reduction in competitive intensity, this should lead to positive abnormal returns for rivals.",1033
Volatility spreads are associated with expected stock returns.,1042
There is a significant relation between expected returns and the realized-implied volatility spread.,1042
There is a significantly positive link between expected returns and the call-put options' implied volatility spread.,1042
The factors have distinct correlations with market returns.,1044
The model generates stochastic correlation between volatility and stock returns.,1044
The number of dealerships in a manufacturer's distribution network explains the difference in finished-goods inventory.,1052
A manufacturer's production flexibility explains the difference in finished-goods inventory.,1052
Investor biases influence stock returns.,1068
An initial run-up of the stock price leads to lower future returns.,1068
An initial drop of the stock price leads to higher future returns.,1068
Size (SMB) predicts stock returns.,1074
Book-to-market (HML) predicts stock returns.,1074
Momentum (MOM) predicts stock returns.,1074
The market factor predicts stock returns.,1074
The stock price reaction upon CEO departure is negatively related to the firm's prior performance.,1077
