topic,idx,source,sink,claim,paper_id,abstract
Size,0,"workers' compensation, firm productivity, firm size",financial market abnormal returns,"The optimal contracts relating to workers' compensation, firm productivity, and firm size affect financial market abnormal returns.",1,"We present a tractable general equilibrium model with multiple sectors in which firms offer workers incentive contracts and simultaneously raise capital in stock markets. Workers optimally invest in the stock market and at the same time hedge labour income risk. Firms rationally take agents' portfolio decisions into account. In equilibrium, the cost of capital of each sector is endogenous. The distortion induced by moral hazard generates counterintuitive effects on the real economy. For example, the value of labour market participation may be higher under moral hazard than under first best, further a positive productivity shock may decrease welfare in the moral hazard economy. In addition, our model generates predictions on the effects of moral hazard on asset markets. For example, in the presence of moral hazard, the capital asset pricing model fails because firms, by choosing optimal incentive contracts, transfer risk both through wages and through the stock market. This leads to several cross-sectional asset pricing “anomalies”, such as size and value effects. As we characterize optimal contracts, we can also present empirical predictions relating workers' compensation, firm productivity, firm size, and financial market abnormal returns."
Earnings forecasts,1,Accommodation and trend-chasing strategies,Stock returns,Momentum and reversal in stock returns are explained by accommodation and trend-chasing strategies.,2,"We investigate the dynamics of prices, information, and expectations in a competitive, noisy, dynamic asset pricing equilibrium model with long-term investors. We argue that the fact that prices can score worse or better than consensus opinion in predicting the fundamentals is a product of endogenous short-term speculation. For a given positive level of residual pay-off uncertainty, if liquidity trades display low persistence, rational investors act like market makers and accommodate the order flow and prices are farther away from fundamentals compared to consensus. This defines a “Keynesian” region; the complementary region is “Hayekian” in that rational investors chase the trend and prices are systematically closer to fundamentals than average expectations. The standard case of no residual uncertainty and liquidity trading following a random walk is on the frontier of the two regions and identifies the set of deep parameters for which rational investors abide by Keynes' dictum of concentrating on an asset “long-term prospects and those only”. The analysis also explains momentum and reversal in stock returns and how accommodation and trend-chasing strategies differ from these phenomena."
Macroeconomic data,2,persistent heterogeneous beliefs,excess returns,"When conditions are satisfied, agents forecast the forecasts of others leading to predictability of excess returns.",3,"This article develops a dynamic asset pricing model with persistent heterogeneous beliefs. The model features competitive traders who receive idiosyncratic signals about an underlying fundamentals process. We adapt Futia's (1981) frequency domain methods to derive conditions on the fundamentals that guarantee non-invertibility of the mapping between observed market data and the underlying shocks to agents' information sets. When these conditions are satisfied, agents remain asymmetrically informed in equilibrium and must ‘forecast the forecasts of others’. An econometrician, who incorrectly imposes a homogeneous beliefs equilibrium, will find that the asset price displays violations of variance bounds, predictability of excess returns, and rejections of cross-equation restrictions."
Macroeconomic data,3,average belief about the risk premium,future excess returns,The average belief about the risk premium in the economy relates negatively to future excess returns,4,"We study asset prices and portfolio choice with overlapping generations, where the young disregard history to learn from own experience. Disregarding history implies less precise estimates of output growth, which in equilibrium leads the young to increase their investment in risky assets after positive returns, that is, they act as trend chasers. In equilibrium, the risk premium decreases after a positive shock and, therefore, trend chasing young agents lose wealth relative to old agents who behave as contrarians. Consistent with findings from survey data, the average belief about the risk premium in the economy relates negatively to future excess returns and is smoother than the true risk premium."
Elections,4,turnout,stock returns,"A vote is more likely to be pivotal for the decision if turnout is smaller, leading to a systematic bias of the decision toward the low-turnout state.",5,"We study the aggregation of dispersed information in elections in which turnout may depend on the state. State-dependent turnout may arise from the actions of a biased and informed “election organizer”. Voters are symmetric ex ante and prefer policy a in state $\alpha$ and policy $b$ in state $\beta$, but the organizer prefers policy $a$ regardless of the state. Each recruited voter observes a private signal about the unknown state but does not learn the turnout.First, we characterize how the outcomes of large elections depend on the turnout pattern across states. In contrast to existing results for large elections, there are equilibria in which information aggregation fails whenever there is an asymmetry in turnout; information aggregation is only guaranteed in all equilibria if turnout is state independent. Second, when the turnout is the result of costly voter recruitment by a biased organizer, the organizer can ensure that its favourite policy $a$ is implemented with high probability independent of the state as the voter recruitment cost vanishes. Moreover, information aggregation will fail in all equilibria. The critical observation is that a vote is more likely to be pivotal for the decision if turnout is smaller, leading to a systematic bias of the decision toward the low-turnout state."
Earnings forecasts,5,investor expectations of stock market returns,stock returns,"Investor expectations of stock market returns, as recovered from demand for index funds, predict stock returns.",6,"Abstract We use a revealed-preference approach to estimate investor expectations of stock market returns. Using data on demand for index funds that follow the S&amp;P 500, we develop and estimate a model of investor choice to flexibly recover the time-varying distribution of expected future returns across investors. Our analysis is facilitated by the prevalence of leveraged funds that track the same underlying asset: by choosing between higher and lower leverage, investors trade off higher return against less risk. Our estimates indicate that investor expectations are heterogeneous, extrapolative, and persistent. Following a downturn, investors become more pessimistic on average, but there is also an increase in disagreement among participating investors due to the presence of contrarian investors."
Macroeconomic data,6,portfolio inertia,stock returns,Portfolio inertia leads to a weaker portfolio response to changes in expected excess returns which in turn affects stock returns.,8,"Abstract We introduce a portfolio friction in a two-country DSGE model where investors face a constant probability to make new portfolio decisions. The friction leads to a more gradual portfolio adjustment to shocks and a weaker portfolio response to changes in expected excess returns. We apply the model to monthly data for the US and the rest of the world for equity portfolios. We show that the model is consistent with a broad set of evidence related to portfolios, equity prices, and excess returns for an intermediate level of friction. The evidence includes portfolio inertia, limited sensitivity to expected excess returns, a significant impact of financial shocks, excess return predictability, and asset price momentum and reversal."
Financial crisis,7,financial shocks,stock returns,Financial shocks have a significant impact on stock returns.,8,"Abstract We introduce a portfolio friction in a two-country DSGE model where investors face a constant probability to make new portfolio decisions. The friction leads to a more gradual portfolio adjustment to shocks and a weaker portfolio response to changes in expected excess returns. We apply the model to monthly data for the US and the rest of the world for equity portfolios. We show that the model is consistent with a broad set of evidence related to portfolios, equity prices, and excess returns for an intermediate level of friction. The evidence includes portfolio inertia, limited sensitivity to expected excess returns, a significant impact of financial shocks, excess return predictability, and asset price momentum and reversal."
Macroeconomic data,8,excess return predictability,stock returns,Excess return predictability is linked to stock returns.,8,"Abstract We introduce a portfolio friction in a two-country DSGE model where investors face a constant probability to make new portfolio decisions. The friction leads to a more gradual portfolio adjustment to shocks and a weaker portfolio response to changes in expected excess returns. We apply the model to monthly data for the US and the rest of the world for equity portfolios. We show that the model is consistent with a broad set of evidence related to portfolios, equity prices, and excess returns for an intermediate level of friction. The evidence includes portfolio inertia, limited sensitivity to expected excess returns, a significant impact of financial shocks, excess return predictability, and asset price momentum and reversal."
Macroeconomic data,9,asset price momentum and reversal,stock returns,Asset price momentum and reversal are related to stock returns.,8,"Abstract We introduce a portfolio friction in a two-country DSGE model where investors face a constant probability to make new portfolio decisions. The friction leads to a more gradual portfolio adjustment to shocks and a weaker portfolio response to changes in expected excess returns. We apply the model to monthly data for the US and the rest of the world for equity portfolios. We show that the model is consistent with a broad set of evidence related to portfolios, equity prices, and excess returns for an intermediate level of friction. The evidence includes portfolio inertia, limited sensitivity to expected excess returns, a significant impact of financial shocks, excess return predictability, and asset price momentum and reversal."
