topic_label,key_terms,first_5_terms
Mid-level executives,"vice, vice president, executive vice, senior vice, named senior, named vice, named executive, president finance, president market, group vice, company vice, vice chairman, named president, group executive, newly create, business development, assistant vice, general manager, named, group president","vice, vice president, executive vice, senior vice, named senior"
Management changes,"succession plan,
top job, departure, management shakeup, management style, shakeup, succession, heir apparent,
top post, daytoday operation, nonex- ecutive chairman, successor,
top management, management structure, daytoday, resignation, nonexecutive, management committee, management
team, executive suite","succession plan, top job, departure, management shakeup, management style"
Natural disasters,"katrina, quake, hurricane katrina, fishermen, coast guard, storm, emergency management,
tsunami, earthquake, boat, hurricane, natural disaster, fisheries, baton rouge, salmon, beaches, mississippi river, debris, rita, dam","katrina, quake, hurricane katrina, fishermen, coast guard"
Police/crime,"inmates, police officer, violent crime, police department, gang, police, homicide, firearms, robbery, gunman, police chief, murder,
traffickers, offenders, police arrest, death penalty, riot police, gun, heroin, sheriff","inmates, police officer, violent crime, police department, gang"
Mid-size cities,"kansas city, fla,
lauderdale, palm beach, salt
lake,
lauderdale fla,
lake city,
fort
lauderdale, beach fla, west palm,
jacksonville,
tampa,
tampa fla, raton fla, raton,
jacksonville fla, boca,
fort, boca raton,
tucson ariz","kansas city, fla, lauderdale, palm beach, salt
lake"
NY politics,"blasio, cuomo, gov andrew, mayor bill, mayor michael, city council, andrew cuomo, city mayor, mayor, city hall, mayoral, borough, councilman, york city, bronx, york gov, staten island, staten, city official,
long island","blasio, cuomo, gov andrew, mayor bill, mayor michael"
Rail/trucking/shipping,"railroad, norfolk southern, conrail, csx, rail, union pacific, amtrak, burlington northern, norfolk,
freight, ship company,
truckers, shippers,
truck company, transit,
truck driver, port, railway,
locomotive, uber","railroad, norfolk southern, conrail, csx, rail"
California,"los angeles, angeles,
los,
francisco, san francisco, diego, san diego, orange county, santa monica, angeles county, san, oakland, bay area, santa barbara, santa ana,
los angelesbased, monica calif, angelesbased, northern california, san antonio","los angeles, angeles, los, francisco, san francisco"
Rental properties,"square feet, square foot, vacancy rate,
tenant, office space,
landlord, office tower, squarefoot, retail space, highrise, apartment build, rent, redevelopment, tower, condo, midtown, square,
time square, downtown, apartment","square feet, square foot, vacancy rate, tenant, office space"
Disease,"disease control, aid virus, cdc, breast cancer, breast,
infectious disease, heart disease, virus, flu, diagnosed,
implants,
immune system,
infected,
immune deficiency, deficiency syndrome, acquire immune,
infectious, symptom,
infection, world health","disease control, aid virus, cdc, breast cancer, breast"
US defense,"rumsfeld, missile defense, marine corps,
joint chief, donald rumsfeld, strategic defense, defense secretary, naval, senate arm, defense official, military service, cruise missile, defense initiative, nuclear missile, maj, pentagon official, arm service, military personnel, aircraft carrier, armor Table IA.I – Continued from previous page","rumsfeld, missile defense, marine corps, joint chief, donald rumsfeld"
Pharma,"pfizer, generic, bristolmyers,
lilly, generic version, drug company, generic drug, eli
lilly, novartis, drug maker, scheringplough, pharmaceutical
industry, genentech, beecham plc, generic competition, roche, bristolmyers squibb, astrazeneca, squibb, drug price","pfizer, generic, bristolmyers, lilly, generic version"
Aerospace/defense,"force contract,
lockheed, mcdonnell, mcdonnell douglas, northrop, pratt whitney, grumman,
lockheed martin, airbus, general dynamic, european aeronautic, aeronautic defence, northrop grumman, martin marietta, defence space, raytheon, plane maker, airbus industrie, defense contractor,
jet engine","force contract, lockheed, mcdonnell, mcdonnell douglas, northrop"
Automotive,"auto maker, domestic car,
import car,
ford, sportutility, chevrolet, chrysler, mazda,
toyota, eestimated, car maker, small car, sportutility vehicle,
japanese auto, car market, honda, sedan, vehicle sale, minivan,
ford motor","auto maker, domestic car, import car, ford, sportutility"
Airlines,"airline,
texas air,
twa, american airline, airways, pilot association, pilot union, flight attendant,
load factor, northwest airline, usair, ual corps, unit airline, delta air, air line,
line pilot, america west, delta, amr corps, continental airline","airline, texas air, twa, american airline, airways"
Retail,"walmart, department store, store open, walmart store, penney, kmart, retail analyst, comparablestore, bentonville, bentonville ark,
largest retailer, neiman marcus, bloomingdales, specialty store, costco, discount store, macy, comparablestore sale, departmentstore, neiman","walmart, department store, store open, walmart store, penney"
Political contributions,"donation, political contribution, philanthropy, campaign contribution, charity, nonprofit organization, nonprofit group, philanthropic, donor, donate, action committee, pac, nonprofit, political action,
foundation, charitable,
federal election, campaignfinance, advocacy,
fundraising","donation, political contribution, philanthropy, campaign contribution, charity"
Regulation,"propose rule, rule govern, rule require, final rule,
federal regulation, consumer protection, regulation, rule change, current rule, protect consumer,
federal rule, rulemaking, report requirement, regulate, government regulation,
ftc, stricter, propose legislation, requirement, state regulation","propose rule, rule govern, rule require, final rule, federal regulation"
Environment,"epa, emission, protection agency, environmental protection, carbon dioxide, dioxide, greenhouse gases, clean air, environmental, environmental group, greenhousegas, greenhousegas emission, air act, superfund, global warm, pollutants, hazardous waste, environmentalists, greenhouse, carbon","epa, emission, protection agency, environmental protection, carbon dioxide"
Private/public sector,"private sector, private enterprise, private business, public sector, private firm, private company, privatization, government aid, privatize,
taxpayer money, private capital, privatesector,
federal government, government money, government subsidy, government
intervention,
local government, private owned, state enterprise, government plan","private sector, private enterprise, private business, public sector, private firm"
State politics,"rhode island, state legislature, state include, west virginia, state legislator, schwarzenegger, north carolina, rhode, washington state, state lawmaker,
legisla- ture, state official, carolina, state house, republican gov, state level, virginia, outofstate, state capital, state budget","rhode island, state legislature, state include, west virginia, state legislator"
Watchdogs,"inspector general, gao, account office, general account, accountability office, government accountability, page report, report conclude,
inspector, review pro- cess, house subcommittee, release report, correspondence,
issue report, oversight,
internal review, documentation, receive letter, wrote letter, examination Table IA.I – Continued from previous page","inspector general, gao, account office, general account, accountability office"
Utilities,"nrc, megawatt, nuclear regulatory, pge, nuclear plant, electricity, electric utility, public utility, utility commission, power company, power plant, energy regulatory, power generation, grid, edison, utility hold, nuclear power, utility company, power light, nuclearpower plant","nrc, megawatt, nuclear regulatory, pge, nuclear plant"
Safety administrations,"safety board,
traffic safety, highway traffic, safety administration,
transportation safety, osha, national highway, occupational safety, health administration, accident, safety standard, national
transportation, air bag, safety, crashes, safety problem, safety issue, occupational,
fatalities, firestone","safety board, traffic safety, highway traffic, safety administration, transportation safety"
National security,"cybersecurity, security agency, hacker,
intelligence committee,
fbi, cia, espionage, homeland security, security expert, senate intelligence, hacking,
intelli- gence agency, spy,
fbi agent, encryption, surveillance, security number, central
intelligence,
intelligence, breaches","cybersecurity, security agency, hacker, intelligence committee, fbi"
Justice Department,"spitzer, antitrust division, general eliot, receive subpoena, eliot spitzer, department antitrust, department
investigation,
justice department,
internal
inves- tigation, general office,
investigate allegation, subpoena, cooperate fully, deputy attorney, probe, york attorney, attorney general, eliot, assistant attorney, criminal probe","spitzer, antitrust division, general eliot, receive subpoena, eliot spitzer"
Indictments,"indictment, plead guilty, plead, plea agreement, mail
fraud,
face maximum, guilty plea, wire fraud, prosecutor allege, guilty,
federal grand,
indicted, grand jury, conspiracy,
felony count, allege scheme, defense attorney, criminal
trial, acquitted, security fraud","indictment, plead guilty, plead, plea agreement, mail
fraud"
Courts,"supreme court, appeal court, scalia,
federal appeal, chief
justice, high court,
justice william, william rehnquist, antonin, court rule, court decision,
justice john, supreme,
lowercourt, antonin scalia, anthony kennedy,
justice antonin,
threejudge, oral argument,
threejudge panel","supreme court, appeal court, scalia, federal appeal, chief
justice"
