idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
1,10.1093/restud/rdq010,General Equilibrium Returns to Human and Investment Capital under Moral Hazard,The Review of Economic Studies,2011-01,https://openalex.org/W2156030554,True,"We present a tractable general equilibrium model with multiple sectors in which firms offer workers incentive contracts and simultaneously raise capital in stock markets. Workers optimally invest in the stock market and at the same time hedge labour income risk. Firms rationally take agents' portfolio decisions into account. In equilibrium, the cost of capital of each sector is endogenous. The distortion induced by moral hazard generates counterintuitive effects on the real economy. For example, the value of labour market participation may be higher under moral hazard than under first best, further a positive productivity shock may decrease welfare in the moral hazard economy. In addition, our model generates predictions on the effects of moral hazard on asset markets. For example, in the presence of moral hazard, the capital asset pricing model fails because firms, by choosing optimal incentive contracts, transfer risk both through wages and through the stock market. This leads to several cross-sectional asset pricing “anomalies”, such as size and value effects. As we characterize optimal contracts, we can also present empirical predictions relating workers' compensation, firm productivity, firm size, and financial market abnormal returns.",
2,10.1093/restud/rdr040,Dynamic Trading and Asset Prices: Keynes vs. Hayek,The Review of Economic Studies,2011-11,https://openalex.org/W3124721249,True,"We investigate the dynamics of prices, information, and expectations in a competitive, noisy, dynamic asset pricing equilibrium model with long-term investors. We argue that the fact that prices can score worse or better than consensus opinion in predicting the fundamentals is a product of endogenous short-term speculation. For a given positive level of residual pay-off uncertainty, if liquidity trades display low persistence, rational investors act like market makers and accommodate the order flow and prices are farther away from fundamentals compared to consensus. This defines a “Keynesian” region; the complementary region is “Hayekian” in that rational investors chase the trend and prices are systematically closer to fundamentals than average expectations. The standard case of no residual uncertainty and liquidity trading following a random walk is on the frontier of the two regions and identifies the set of deep parameters for which rational investors abide by Keynes' dictum of concentrating on an asset “long-term prospects and those only”. The analysis also explains momentum and reversal in stock returns and how accommodation and trend-chasing strategies differ from these phenomena.",
3,10.1093/restud/rdt051,Heterogeneous Beliefs and Tests of Present Value Models,The Review of Economic Studies,2013-12,https://openalex.org/W2070485196,True,"This article develops a dynamic asset pricing model with persistent heterogeneous beliefs. The model features competitive traders who receive idiosyncratic signals about an underlying fundamentals process. We adapt Futia's (1981) frequency domain methods to derive conditions on the fundamentals that guarantee non-invertibility of the mapping between observed market data and the underlying shocks to agents' information sets. When these conditions are satisfied, agents remain asymmetrically informed in equilibrium and must ‘forecast the forecasts of others’. An econometrician, who incorrectly imposes a homogeneous beliefs equilibrium, will find that the asset price displays violations of variance bounds, predictability of excess returns, and rejections of cross-equation restrictions.",
4,10.1093/restud/rdx077,Asset Prices and Portfolio Choice with Learning from Experience,The Review of Economic Studies,2017-12,https://openalex.org/W3125625714,True,"We study asset prices and portfolio choice with overlapping generations, where the young disregard history to learn from own experience. Disregarding history implies less precise estimates of output growth, which in equilibrium leads the young to increase their investment in risky assets after positive returns, that is, they act as trend chasers. In equilibrium, the risk premium decreases after a positive shock and, therefore, trend chasing young agents lose wealth relative to old agents who behave as contrarians. Consistent with findings from survey data, the average belief about the risk premium in the economy relates negatively to future excess returns and is smoother than the true risk premium.",
5,10.1093/restud/rdz019,Manipulated Electorates and Information Aggregation,The Review of Economic Studies,2019-05,https://openalex.org/W2187484857,True,"We study the aggregation of dispersed information in elections in which turnout may depend on the state. State-dependent turnout may arise from the actions of a biased and informed “election organizer”. Voters are symmetric ex ante and prefer policy a in state $\alpha$ and policy $b$ in state $\beta$, but the organizer prefers policy $a$ regardless of the state. Each recruited voter observes a private signal about the unknown state but does not learn the turnout.First, we characterize how the outcomes of large elections depend on the turnout pattern across states. In contrast to existing results for large elections, there are equilibria in which information aggregation fails whenever there is an asymmetry in turnout; information aggregation is only guaranteed in all equilibria if turnout is state independent. Second, when the turnout is the result of costly voter recruitment by a biased organizer, the organizer can ensure that its favourite policy $a$ is implemented with high probability independent of the state as the voter recruitment cost vanishes. Moreover, information aggregation will fail in all equilibria. The critical observation is that a vote is more likely to be pivotal for the decision if turnout is smaller, leading to a systematic bias of the decision toward the low-turnout state.",
6,10.1093/restud/rdab086,Recovering Investor Expectations from Demand for Index Funds,The Review of Economic Studies,2021-12,https://openalex.org/W4206393319,True,"Abstract We use a revealed-preference approach to estimate investor expectations of stock market returns. Using data on demand for index funds that follow the S&amp;P 500, we develop and estimate a model of investor choice to flexibly recover the time-varying distribution of expected future returns across investors. Our analysis is facilitated by the prevalence of leveraged funds that track the same underlying asset: by choosing between higher and lower leverage, investors trade off higher return against less risk. Our estimates indicate that investor expectations are heterogeneous, extrapolative, and persistent. Following a downturn, investors become more pessimistic on average, but there is also an increase in disagreement among participating investors due to the presence of contrarian investors.",
7,10.1093/restud/rdac046,Multinomial Logit Processes and Preference Discovery: Inside and Outside the Black Box,The Review of Economic Studies,2022-08,https://openalex.org/W3124040084,True,"Abstract We provide two characterizations, one axiomatic and the other neuro-computational, of the dependence of choice probabilities on deadlines, within the widely used softmax representation $$\begin{align*} p_{t}\left( a,A\right) =\dfrac{e^{\frac{u\left( a\right) }{\lambda\left( t\right) }+\alpha\left( a\right) }}{\sum_{b\in A}e^{\frac{u\left( b\right) }{\lambda\left( t\right) }+\alpha\left( b\right) }}, \end{align*}$$ where $p_{t}\left( a,A\right)$ is the probability that alternative $a$ is selected from the set $A$ of feasible alternatives if $t$ is the time available to decide, $\lambda$ is a time-dependent noise parameter measuring the unit cost of information, $u$ is a time-independent utility function, and $\alpha$ is an alternative-specific bias that determines the initial choice probabilities (reflecting prior information and memory anchoring). Our axiomatic analysis provides a behavioural foundation of softmax (also known as Multinomial Logit Model when $\alpha$ is constant). Our neuro-computational derivation provides a biologically inspired algorithm that may explain the emergence of softmax in choice behaviour. Jointly, the two approaches provide a thorough understanding of softmaximization in terms of internal causes (neuro-physiological mechanisms) and external effects (testable implications).",
8,10.1093/restud/rdac054,Infrequent Random Portfolio Decisions in an Open Economy Model,The Review of Economic Studies,2022-08,https://openalex.org/W4289835016,True,"Abstract We introduce a portfolio friction in a two-country DSGE model where investors face a constant probability to make new portfolio decisions. The friction leads to a more gradual portfolio adjustment to shocks and a weaker portfolio response to changes in expected excess returns. We apply the model to monthly data for the US and the rest of the world for equity portfolios. We show that the model is consistent with a broad set of evidence related to portfolios, equity prices, and excess returns for an intermediate level of friction. The evidence includes portfolio inertia, limited sensitivity to expected excess returns, a significant impact of financial shocks, excess return predictability, and asset price momentum and reversal.",
9,10.1093/restud/rdad036,Using Disasters to Estimate the Impact of Uncertainty,The Review of Economic Studies,2023-03,https://openalex.org/W4360104726,True,"Abstract Uncertainty rises in recessions and falls in booms. But what is the causal relationship? We construct cross-country panel data on stock market returns to proxy for first- and second-moment shocks and instrument these with natural disasters, terrorist attacks, and political shocks. Our IV regression results reveal a robust negative short-term impact of second moments (uncertainty) on growth. Employing multiple vector autoregression estimation approaches, relying on a range of identifying assumptions, also reveals a negative impact of uncertainty on growth. Finally, we show that these results are reproducible in a conventional micro–macro business cycle model with time-varying uncertainty.",
10,10.1162/qjec.2006.121.2.399,"Mandated Disclosure, Stock Returns, and the 1964 Securities Acts Amendments",The Quarterly Journal of Economics,2006-05,https://openalex.org/W2111147781,True,"The 1964 Securities Acts Amendments extended the mandatory disclosure requirements that had applied to listed firms since 1934 to large firms traded Over-the-Counter (OTC). We find several pieces of evidence indicating that investors valued these disclosure requirements, two of which are particularly striking. First, a firm-level event study reveals that the OTC firms most affected by the 1964 Amendments had abnormal excess returns of about 3.5 percent in the weeks immediately surrounding the announcement thai they had begun to comply with the new requirements. Second, we estimate that the most affected OTC firms had abnormal excess returns ranging between 11.5 and 22.1 percent in the period between when the legislation was initially proposed and when it went into force. These returns are adjusted for the standard four factors and are relative to NYSE/AMEX firms, matched on size and book-to-market equity, that were unaffected by the legislation. While we cannot determine how much of shareholders' gains were a transfer from insiders of these same companies, our results suggest that mandatory disclosure causes managers to focus more narrowly on maximizing shareholder value.",
